15,13,13,12,13,12,14,13,13,14,12,13,12,13,13,15
13,11,10,8,10,8,12,12,12,12,8,10,8,10,11,13
13,10,7,4,7,4,10,10,10,10,4,7,4,7,10,13
12,8,4,0,4,0,8,8,8,8,0,4,0,4,8,12
13,10,7,4,7,4,10,10,10,10,4,7,4,7,10,13
12,8,4,0,4,0,8,8,8,8,0,4,0,4,8,12
14,12,10,8,10,8,12,12,12,12,8,10,8,10,12,14
13,11,10,8,10,8,12,12,12,12,8,10,8,10,11,13
13,11,10,8,10,8,12,12,12,12,8,10,8,10,11,13
14,12,10,8,10,8,12,12,12,12,8,10,8,10,12,14
12,8,4,0,4,0,8,8,8,8,0,4,0,4,8,12
13,10,7,4,7,4,10,10,10,10,4,7,4,7,10,13
12,8,4,0,4,0,8,8,8,8,0,4,0,4,8,12
13,10,7,4,7,4,10,10,10,10,4,7,4,7,10,13
13,11,10,8,10,8,12,12,12,12,8,10,8,10,11,13
15,13,13,12,13,12,14,13,13,14,12,13,12,13,13,15
