1048575,1048299,1048453,1047552,1048453,1047552,1048064,1048299,1048299,1048064,1047552,1048453,1047552,1048453,1048299,1048575
1048299,971847,1014505,764928,1014505,764928,906752,971847,971847,906752,764928,1014505,764928,1014505,971847,1048299
1048453,1014505,1033447,922624,1033447,922624,985600,1014505,1014505,985600,922624,1033447,922624,1033447,1014505,1048453
1047552,764928,922624,0,922624,0,524288,764928,764928,524288,0,922624,0,922624,764928,1047552
1048453,1014505,1033447,922624,1033447,922624,985600,1014505,1014505,985600,922624,1033447,922624,1033447,1014505,1048453
1047552,764928,922624,0,922624,0,524288,764928,764928,524288,0,922624,0,922624,764928,1047552
1048064,906752,985600,524288,985600,524288,786432,906752,906752,786432,524288,985600,524288,985600,906752,1048064
1048299,971847,1014505,764928,1014505,764928,906752,971847,971847,906752,764928,1014505,764928,1014505,971847,1048299
1048299,971847,1014505,764928,1014505,764928,906752,971847,971847,906752,764928,1014505,764928,1014505,971847,1048299
1048064,906752,985600,524288,985600,524288,786432,906752,906752,786432,524288,985600,524288,985600,906752,1048064
1047552,764928,922624,0,922624,0,524288,764928,764928,524288,0,922624,0,922624,764928,1047552
1048453,1014505,1033447,922624,1033447,922624,985600,1014505,1014505,985600,922624,1033447,922624,1033447,1014505,1048453
1047552,764928,922624,0,922624,0,524288,764928,764928,524288,0,922624,0,922624,764928,1047552
1048453,1014505,1033447,922624,1033447,922624,985600,1014505,1014505,985600,922624,1033447,922624,1033447,1014505,1048453
1048299,971847,1014505,764928,1014505,764928,906752,971847,971847,906752,764928,1014505,764928,1014505,971847,1048299
1048575,1048299,1048453,1047552,1048453,1047552,1048064,1048299,1048299,1048064,1047552,1048453,1047552,1048453,1048299,1048575
