4095,4067,4078,4032,4078,4032,4064,4067,4067,4064,4032,4078,4032,4078,4067,4095
4067,3255,3574,2240,3574,2240,3168,3255,3255,3168,2240,3574,2240,3574,3255,4067
4078,3574,3772,2944,3772,2944,3520,3574,3574,3520,2944,3772,2944,3772,3574,4078
4032,2240,2944,0,2944,0,2048,2240,2240,2048,0,2944,0,2944,2240,4032
4078,3574,3772,2944,3772,2944,3520,3574,3574,3520,2944,3772,2944,3772,3574,4078
4032,2240,2944,0,2944,0,2048,2240,2240,2048,0,2944,0,2944,2240,4032
4064,3168,3520,2048,3520,2048,3072,3168,3168,3072,2048,3520,2048,3520,3168,4064
4067,3255,3574,2240,3574,2240,3168,3255,3255,3168,2240,3574,2240,3574,3255,4067
4067,3255,3574,2240,3574,2240,3168,3255,3255,3168,2240,3574,2240,3574,3255,4067
4064,3168,3520,2048,3520,2048,3072,3168,3168,3072,2048,3520,2048,3520,3168,4064
4032,2240,2944,0,2944,0,2048,2240,2240,2048,0,2944,0,2944,2240,4032
4078,3574,3772,2944,3772,2944,3520,3574,3574,3520,2944,3772,2944,3772,3574,4078
4032,2240,2944,0,2944,0,2048,2240,2240,2048,0,2944,0,2944,2240,4032
4078,3574,3772,2944,3772,2944,3520,3574,3574,3520,2944,3772,2944,3772,3574,4078
4067,3255,3574,2240,3574,2240,3168,3255,3255,3168,2240,3574,2240,3574,3255,4067
4095,4067,4078,4032,4078,4032,4064,4067,4067,4064,4032,4078,4032,4078,4067,4095
