63,57,59,56,59,56,56,57,57,56,56,59,56,59,57,63
57,15,29,8,29,8,8,15,15,8,8,29,8,29,15,57
59,29,39,24,39,24,24,29,29,24,24,39,24,39,29,59
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
59,29,39,24,39,24,24,29,29,24,24,39,24,39,29,59
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
57,15,29,8,29,8,8,15,15,8,8,29,8,29,15,57
57,15,29,8,29,8,8,15,15,8,8,29,8,29,15,57
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
59,29,39,24,39,24,24,29,29,24,24,39,24,39,29,59
56,8,24,0,24,0,0,8,8,0,0,24,0,24,8,56
59,29,39,24,39,24,24,29,29,24,24,39,24,39,29,59
57,15,29,8,29,8,8,15,15,8,8,29,8,29,15,57
63,57,59,56,59,56,56,57,57,56,56,59,56,59,57,63
